sim_num,final_bankroll,roi_pct
148,210.58,110.6
149,210.59,110.6
150,210.56,110.6
151,210.51,110.5
152,210.56,110.6
153,210.56,110.6
154,210.48,110.5
155,210.54,110.5
156,210.63,110.6
157,210.56,110.6
158,210.61,110.6
159,210.49,110.5
160,210.5,110.5
161,210.55,110.6
162,210.67,110.7
163,210.67,110.7
164,210.56,110.6
165,210.63,110.6
166,210.57,110.6
167,210.49,110.5
168,210.58,110.6
169,210.61,110.6
170,210.53,110.5
171,210.57,110.6
172,210.57,110.6
173,210.63,110.6
174,210.5,110.5
175,210.67,110.7
176,210.59,110.6
177,210.62,110.6
178,210.61,110.6
179,210.58,110.6
180,210.58,110.6
181,210.58,110.6
182,210.59,110.6
183,210.54,110.5
184,210.67,110.7
185,210.58,110.6
186,210.56,110.6
187,210.5,110.5
188,210.5,110.5
189,210.52,110.5
190,210.63,110.6
191,210.49,110.5
192,210.66,110.7
193,210.59,110.6
194,210.52,110.5
195,210.55,110.6
196,210.62,110.6
197,210.63,110.6
198,210.55,110.6
199,210.58,110.6
200,210.58,110.6
201,210.56,110.6
202,210.57,110.6
203,210.63,110.6
204,210.66,110.7
205,210.64,110.6
206,210.56,110.6
207,210.57,110.6
208,210.55,110.6
209,210.64,110.6
210,210.59,110.6
211,210.73,110.7
212,210.65,110.7
213,210.57,110.6
214,210.55,110.6
215,210.64,110.6
216,210.64,110.6
217,210.55,110.6
218,210.69,110.7
219,210.56,110.6
220,210.51,110.5
221,210.61,110.6
222,210.61,110.6
223,210.56,110.6
224,210.62,110.6
225,210.58,110.6
226,210.58,110.6
227,210.61,110.6
228,210.58,110.6
229,210.57,110.6
230,210.52,110.5
231,210.54,110.5
232,210.5,110.5
233,210.69,110.7
234,210.56,110.6
235,210.5,110.5
236,210.56,110.6
237,210.64,110.6
238,210.63,110.6
239,210.67,110.7
240,210.6,110.6
241,210.52,110.5
242,210.61,110.6
243,210.61,110.6
244,210.49,110.5
245,210.62,110.6
246,210.69,110.7
247,210.6,110.6
248,210.52,110.5
249,210.59,110.6
250,210.66,110.7
251,210.58,110.6
252,210.5,110.5
253,210.62,110.6
254,210.49,110.5
255,210.72,110.7
256,210.59,110.6
257,210.58,110.6
258,210.59,110.6
259,210.56,110.6
260,210.53,110.5
261,210.53,110.5
262,210.48,110.5
263,210.67,110.7
264,210.6,110.6
265,210.59,110.6
266,210.66,110.7
267,210.52,110.5
268,210.58,110.6
269,210.5,110.5
270,210.56,110.6
271,210.57,110.6
272,210.59,110.6
273,210.67,110.7
274,210.49,110.5
275,210.61,110.6
276,210.55,110.6
277,210.59,110.6
278,210.55,110.6
279,210.65,110.7
280,210.57,110.6
281,210.58,110.6
282,210.64,110.6
283,210.61,110.6
284,210.63,110.6
285,210.55,110.6
286,210.56,110.6
287,210.51,110.5
288,210.49,110.5
289,210.57,110.6
290,210.58,110.6
291,210.62,110.6
292,210.54,110.5
293,210.71,110.7
294,210.61,110.6
295,210.51,110.5
296,210.57,110.6
297,210.79,110.8
298,210.59,110.6
299,210.62,110.6
300,210.61,110.6
301,210.66,110.7
302,210.62,110.6
303,210.53,110.5
304,210.64,110.6
305,210.56,110.6
306,210.71,110.7
307,210.48,110.5
308,210.61,110.6
309,210.65,110.7
310,210.65,110.7
311,210.63,110.6
312,210.56,110.6
313,210.58,110.6
314,210.66,110.7
315,210.59,110.6
316,210.51,110.5
317,210.59,110.6
318,210.58,110.6
319,210.55,110.6
320,210.52,110.5
321,210.43,110.4
322,210.59,110.6
323,210.67,110.7
324,210.52,110.5
325,210.6,110.6
326,210.64,110.6
327,210.53,110.5
328,210.49,110.5
329,210.55,110.6
330,210.64,110.6
331,210.67,110.7
332,210.62,110.6
333,210.54,110.5
334,210.62,110.6
335,210.62,110.6
336,210.55,110.6
337,210.58,110.6
338,210.7,110.7
339,210.63,110.6
340,210.59,110.6
341,210.6,110.6
342,210.58,110.6
343,210.66,110.7
344,210.57,110.6
345,210.58,110.6
346,210.48,110.5
347,210.63,110.6
348,210.59,110.6
349,210.57,110.6
350,210.6,110.6
351,210.47,110.5
352,210.61,110.6
353,210.64,110.6
354,210.71,110.7
355,210.62,110.6
356,210.66,110.7
357,210.52,110.5
358,210.6,110.6
359,210.58,110.6
360,210.56,110.6
361,210.55,110.6
362,210.54,110.5
363,210.53,110.5
364,210.62,110.6
365,210.59,110.6
366,210.59,110.6
367,210.51,110.5
368,210.65,110.7
369,210.56,110.6
370,210.57,110.6
371,210.66,110.7
372,210.57,110.6
373,210.55,110.6
374,210.66,110.7
375,210.5,110.5
376,210.6,110.6
377,210.62,110.6
378,210.55,110.6
379,210.56,110.6
380,210.55,110.6
381,210.57,110.6
382,210.55,110.6
383,210.66,110.7
384,210.59,110.6
385,210.56,110.6
386,210.66,110.7
387,210.53,110.5
388,210.59,110.6
389,210.6,110.6
390,210.53,110.5
391,210.55,110.6
392,210.53,110.5
393,210.46,110.5
394,210.58,110.6
395,210.56,110.6
396,210.59,110.6
397,210.46,110.5
398,210.53,110.5
399,210.55,110.6
400,210.53,110.5
401,210.63,110.6
402,210.65,110.7
403,210.56,110.6
404,210.57,110.6
405,210.64,110.6
406,210.55,110.6
407,210.63,110.6
408,210.59,110.6
409,210.69,110.7
410,210.69,110.7
411,210.62,110.6
412,210.61,110.6
413,210.49,110.5
414,210.55,110.6
415,210.64,110.6
416,210.57,110.6
417,210.59,110.6
418,210.68,110.7
419,210.59,110.6
420,210.58,110.6
421,210.55,110.6
422,210.59,110.6
423,210.62,110.6
424,210.59,110.6
425,210.63,110.6
426,210.61,110.6
427,210.57,110.6
428,210.59,110.6
