time,open,high,low,close,volume,tbbav
2026-01-22 18:30:00+00:00,89616.03,89767.34,89593.21,89668.6,75.11648,44.82737
2026-01-22 18:45:00+00:00,89668.61,89715.61,89301.9,89333.94,83.14319,36.6182
2026-01-22 19:00:00+00:00,89333.93,89460.0,89114.48,89399.12,143.60296,64.41467
2026-01-22 19:15:00+00:00,89399.11,89577.96,89303.0,89504.99,74.77704,37.30508
2026-01-22 19:30:00+00:00,89504.99,89880.0,89485.92,89845.71,112.96282,72.42781
2026-01-22 19:45:00+00:00,89845.71,89924.46,89624.13,89777.9,158.52161,72.57313
2026-01-22 20:00:00+00:00,89777.89,89924.0,89697.99,89924.0,122.14617,44.95272
2026-01-22 20:15:00+00:00,89923.99,89946.13,89564.44,89574.44,72.74936,22.35564
2026-01-22 20:30:00+00:00,89574.44,89713.26,89468.75,89507.7,68.21446,31.61732
2026-01-22 20:45:00+00:00,89507.7,89552.86,89398.87,89409.72,75.71703,20.85018
2026-01-22 21:00:00+00:00,89409.73,89625.4,89384.0,89540.01,61.51952,35.8135
2026-01-22 21:15:00+00:00,89540.01,89669.21,89540.0,89571.54,68.93792,39.06092
2026-01-22 21:30:00+00:00,89571.54,89600.0,89392.01,89392.01,68.59455,26.86295
2026-01-22 21:45:00+00:00,89392.0,89392.0,89238.32,89268.66,73.72608,27.19165
2026-01-22 22:00:00+00:00,89268.66,89566.0,89140.13,89490.7,113.00019,60.20854
2026-01-22 22:15:00+00:00,89490.71,89520.0,89359.48,89422.77,64.0641,25.98521
2026-01-22 22:30:00+00:00,89422.78,89422.78,89167.43,89265.5,74.15074,20.47053
2026-01-22 22:45:00+00:00,89265.5,89375.54,89265.5,89346.99,43.76773,21.14567
2026-01-22 23:00:00+00:00,89346.99,89375.78,89170.74,89302.4,62.87777,28.05656
2026-01-22 23:15:00+00:00,89302.4,89509.97,89296.43,89440.0,56.52717,35.87637
2026-01-22 23:30:00+00:00,89440.01,89583.62,89404.76,89505.7,46.82212,21.10281
2026-01-22 23:45:00+00:00,89505.7,89559.68,89501.17,89559.67,34.6378,12.01997
2026-01-23 00:00:00+00:00,89559.68,89559.68,89450.48,89537.0,41.47779,21.29015
2026-01-23 00:15:00+00:00,89537.0,89638.84,89535.13,89615.71,88.53988,30.2731
2026-01-23 00:30:00+00:00,89615.7,89623.85,89512.0,89552.51,46.21598,28.51452
2026-01-23 00:45:00+00:00,89552.51,89609.04,89520.0,89520.01,49.56478,17.47171
2026-01-23 01:00:00+00:00,89520.01,89677.35,89520.01,89607.82,77.56609,42.86758
2026-01-23 01:15:00+00:00,89607.82,89693.17,89607.82,89693.16,45.82468,27.68548
2026-01-23 01:30:00+00:00,89693.17,89866.64,89641.42,89827.81,103.04698,63.99001
2026-01-23 01:45:00+00:00,89827.81,89939.39,89772.92,89939.38,55.13451,36.84254
2026-01-23 02:00:00+00:00,89939.39,89979.97,89797.74,89950.34,185.95406,107.15699
2026-01-23 02:15:00+00:00,89950.33,89950.34,89740.18,89769.13,76.553,33.26332
2026-01-23 02:30:00+00:00,89769.14,89832.34,89757.06,89788.7,71.1051,35.8562
2026-01-23 02:45:00+00:00,89788.71,89817.78,89655.41,89663.48,42.07393,15.60879
2026-01-23 03:00:00+00:00,89663.47,89805.44,89646.18,89805.44,63.71484,34.84138
2026-01-23 03:15:00+00:00,89805.44,89908.03,89805.43,89897.74,72.11473,36.97184
2026-01-23 03:30:00+00:00,89897.75,89924.78,89805.43,89894.28,52.06683,25.75178
2026-01-23 03:45:00+00:00,89894.29,89924.78,89853.81,89924.78,73.18788,39.33208
2026-01-23 04:00:00+00:00,89924.78,90076.92,89871.73,90076.9,174.65713,113.15326
2026-01-23 04:15:00+00:00,90076.9,90088.94,89957.55,89985.48,112.07956,49.23035
2026-01-23 04:30:00+00:00,89985.48,90038.58,89910.0,89983.04,66.08143,25.17368
2026-01-23 04:45:00+00:00,89983.04,90036.57,89965.42,89965.42,78.10451,20.00609
2026-01-23 05:00:00+00:00,89965.43,89969.02,89851.04,89886.16,78.56857,25.42981
2026-01-23 05:15:00+00:00,89886.17,89886.17,89528.88,89646.22,130.74893,47.83155
2026-01-23 05:30:00+00:00,89646.22,89702.85,89618.22,89643.52,53.13131,20.43088
2026-01-23 05:45:00+00:00,89643.53,89678.52,89473.99,89616.03,98.43849,42.21627
2026-01-23 06:00:00+00:00,89616.04,89799.36,89552.73,89733.5,162.03107,73.967
2026-01-23 06:15:00+00:00,89733.51,89758.88,89400.0,89473.16,102.84879,43.10262
2026-01-23 06:30:00+00:00,89473.16,89661.96,89473.16,89655.74,90.01623,43.87252
2026-01-23 06:45:00+00:00,89655.73,89658.81,89497.66,89509.59,95.27028,32.58191
2026-01-23 07:00:00+00:00,89509.59,89573.24,89474.0,89550.59,135.03142,81.93669
2026-01-23 07:15:00+00:00,89550.59,89686.4,89550.59,89642.22,70.27044,37.42072
2026-01-23 07:30:00+00:00,89642.22,89685.43,89542.97,89580.98,137.25377,90.90865
2026-01-23 07:45:00+00:00,89580.97,89622.0,89447.52,89549.45,145.18564,93.72998
2026-01-23 08:00:00+00:00,89549.45,89632.18,89490.0,89552.21,85.23281,46.09074
2026-01-23 08:15:00+00:00,89552.21,89569.03,89327.33,89332.78,128.52161,30.2377
2026-01-23 08:30:00+00:00,89332.79,89398.99,89133.35,89359.76,226.71993,94.07494
2026-01-23 08:45:00+00:00,89359.77,89424.95,89183.99,89221.46,103.71798,42.45759
2026-01-23 09:00:00+00:00,89221.46,89388.71,89206.0,89238.57,79.83678,41.70535
2026-01-23 09:15:00+00:00,89238.56,89238.57,89010.77,89165.65,166.80784,88.09123
2026-01-23 09:30:00+00:00,89165.65,89182.81,88908.83,89009.73,200.30988,73.16553
2026-01-23 09:45:00+00:00,89009.74,89010.01,88897.81,88977.72,185.41258,72.32546
2026-01-23 10:00:00+00:00,88977.72,89083.29,88860.44,89049.83,79.78224,34.4772
2026-01-23 10:15:00+00:00,89049.84,89132.58,89000.46,89103.0,59.89308,37.7254
2026-01-23 10:30:00+00:00,89102.99,89133.38,88977.31,89127.97,90.52575,48.39685
2026-01-23 10:45:00+00:00,89127.96,89160.74,89020.1,89046.49,104.26685,45.90457
2026-01-23 11:00:00+00:00,89046.49,89244.86,89000.0,89222.89,172.87999,118.0112
2026-01-23 11:15:00+00:00,89222.88,89275.96,89204.84,89219.99,129.41518,37.14613
2026-01-23 11:30:00+00:00,89219.99,89355.51,89219.99,89249.2,117.67911,64.37382
2026-01-23 11:45:00+00:00,89249.2,89274.69,89164.97,89202.48,61.6861,18.55321
2026-01-23 12:00:00+00:00,89202.47,89248.6,89160.01,89160.01,50.93924,13.52997
2026-01-23 12:15:00+00:00,89160.01,89182.98,89125.18,89163.52,48.04799,21.83712
2026-01-23 12:30:00+00:00,89163.51,89241.27,89099.2,89241.26,45.33963,21.10028
2026-01-23 12:45:00+00:00,89241.27,89383.09,89241.26,89267.83,75.39228,35.20131
2026-01-23 13:00:00+00:00,89267.83,89419.88,89237.65,89407.15,105.10216,67.68712
2026-01-23 13:15:00+00:00,89407.15,89426.92,89256.59,89257.43,95.78898,29.89792
2026-01-23 13:30:00+00:00,89257.43,89355.21,89247.44,89355.2,45.77988,24.09273
2026-01-23 13:45:00+00:00,89355.21,89450.18,89310.32,89350.81,51.09208,22.00985
2026-01-23 14:00:00+00:00,89350.8,89472.55,89254.23,89459.29,86.17337,56.39364
2026-01-23 14:15:00+00:00,89459.29,89702.85,89430.21,89685.93,241.30274,145.81993
2026-01-23 14:30:00+00:00,89685.92,89733.71,88663.65,88965.48,633.74605,267.25835
2026-01-23 14:45:00+00:00,88965.49,89133.38,88684.08,89017.85,279.5446,153.19903
2026-01-23 15:00:00+00:00,89017.85,89189.9,88763.76,88821.92,224.68151,121.70312
2026-01-23 15:15:00+00:00,88821.91,89279.02,88578.36,88979.61,296.11633,150.74171
2026-01-23 15:30:00+00:00,88979.61,89284.47,88933.79,89259.98,182.27379,72.4257
2026-01-23 15:45:00+00:00,89259.97,89865.53,89259.95,89761.61,375.61262,226.54504
2026-01-23 16:00:00+00:00,89761.61,89969.16,89637.89,89752.27,322.66382,129.21875
2026-01-23 16:15:00+00:00,89752.27,89762.18,89518.0,89575.45,168.34599,67.36599
2026-01-23 16:30:00+00:00,89575.46,90422.0,89489.0,90269.66,422.75513,259.95348
2026-01-23 16:45:00+00:00,90269.65,90490.06,90122.76,90124.85,352.96012,219.88389
2026-01-23 17:00:00+00:00,90124.86,90200.0,89978.4,90199.99,154.2487,88.93179
2026-01-23 17:15:00+00:00,90199.99,90981.99,90199.99,90981.99,402.41101,232.13612
2026-01-23 17:30:00+00:00,90981.98,91224.99,90769.23,90831.33,466.33567,264.19367
2026-01-23 17:45:00+00:00,90831.33,91054.5,90565.6,90600.0,323.60294,126.51896
2026-01-23 18:00:00+00:00,90600.0,91039.75,90449.42,90743.61,272.70373,127.18102
2026-01-23 18:15:00+00:00,90743.62,90958.42,90640.36,90871.84,125.87485,63.1868
2026-01-23 18:30:00+00:00,90871.83,91025.0,90718.89,90738.0,179.20217,71.43358
2026-01-23 18:45:00+00:00,90737.99,90738.0,90505.86,90530.45,120.67341,57.25306
2026-01-23 19:00:00+00:00,90530.44,90534.59,90224.94,90278.0,242.87822,98.53885
2026-01-23 19:15:00+00:00,90278.0,90286.01,89756.41,89845.83,520.97386,282.02599
2026-01-23 19:30:00+00:00,89845.82,89886.45,89612.01,89879.79,243.46245,137.91107
2026-01-23 19:45:00+00:00,89879.8,90020.0,89728.92,89982.79,111.68398,65.28853
2026-01-23 20:00:00+00:00,89982.79,90156.06,89856.8,90119.01,147.41591,91.14633
2026-01-23 20:15:00+00:00,90119.02,90135.2,89812.7,89814.37,102.44544,42.50694
2026-01-23 20:30:00+00:00,89814.38,89814.38,89263.64,89422.27,335.17421,120.52438
2026-01-23 20:45:00+00:00,89422.26,89569.58,89200.68,89503.68,332.6916,163.04819
2026-01-23 21:00:00+00:00,89503.67,89691.18,89437.77,89605.43,142.61398,81.29017
2026-01-23 21:15:00+00:00,89605.43,89680.0,89477.84,89600.26,46.30724,26.19501
2026-01-23 21:30:00+00:00,89600.25,89617.94,89402.25,89438.01,39.26106,12.64007
2026-01-23 21:45:00+00:00,89438.02,89476.0,89317.0,89349.99,80.25482,27.88287
2026-01-23 22:00:00+00:00,89349.99,89752.45,89335.35,89622.5,153.10284,93.13895
2026-01-23 22:15:00+00:00,89622.5,89743.07,89591.1,89712.22,70.7294,38.78071
2026-01-23 22:30:00+00:00,89712.23,89737.11,89587.03,89587.03,120.1853,45.69469
2026-01-23 22:45:00+00:00,89587.03,89647.58,89554.83,89624.61,62.17768,48.53202
2026-01-23 23:00:00+00:00,89624.6,89624.6,89520.88,89576.22,39.03443,20.59603
2026-01-23 23:15:00+00:00,89576.22,89594.0,89505.29,89562.0,36.22456,10.83115
2026-01-23 23:30:00+00:00,89562.0,89578.36,89517.09,89517.1,30.76386,10.27451
2026-01-23 23:45:00+00:00,89517.09,89631.0,89472.13,89600.26,45.85122,26.18392
2026-01-24 00:00:00+00:00,89600.26,89625.41,89509.5,89509.51,21.9074,8.82333
2026-01-24 00:15:00+00:00,89509.5,89570.91,89457.87,89457.87,24.51084,10.24334
2026-01-24 00:30:00+00:00,89457.87,89547.08,89452.78,89481.82,52.89132,18.91158
2026-01-24 00:45:00+00:00,89481.82,89484.35,89424.39,89452.83,31.4778,10.68924
2026-01-24 01:00:00+00:00,89452.83,89516.69,89450.58,89515.93,30.45153,17.33221
